event,emitter_count,listener_count,status,matched_by_pattern,emitters,listeners
calendar_event.updated,3,1,OK,,apps/server/src/core/connectors/implementations/google-calendar.connector.ts apps/server/src/modules/calendar/listeners/connector.listener.ts apps/server/test/calendar-action-intelligence.smoke.test.ts,apps/server/src/modules/calendar/listeners/connector.listener.ts
calendar.event,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/temporal-flow/temporal-flow.service.spec.ts,
call_log.completed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/call-tasks/call-log.service.ts,
call_log.created,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/call-tasks/call-log.service.ts,
call_log.created_from_next_action,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/call-tasks/call-log.service.ts,
call_log.deleted,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/call-tasks/call-log.service.ts,
call_log.follow_up_created,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/call-tasks/call-log.service.ts,
call_log.updated,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/call-tasks/call-log.service.ts,
campaign.briefing_generated,1,1,OK,,apps/server/src/modules/email-marketing/campaign-intelligence.service.ts,apps/server/src/modules/ai/ai.listener.ts
campaign.created,1,2,OK,,apps/server/src/modules/email-marketing/email-marketing.service.ts,apps/server/src/modules/ai/ai.listener.ts apps/server/src/modules/calendar/listeners/marketing.listener.ts
campaign.sent,4,3,OK,,apps/server/src/core/connectors/implementations/klaviyo.connector.ts apps/server/src/core/connectors/implementations/mailchimp.connector.ts apps/server/src/modules/email-marketing/email-marketing.service.ts apps/server/test/ai.listener.test.ts,apps/server/src/modules/ai/ai.listener.ts apps/server/src/modules/calendar/listeners/marketing.listener.ts apps/server/src/modules/flow/cross-module-agent.service.ts
catalog.product.created,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/catalog/catalog.service.ts,
catalog.product.deleted,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/catalog/catalog.service.ts,
catalog.product.updated,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/catalog/catalog.service.ts,
catalog.service.created,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/catalog/catalog.service.ts,
catalog.service.deleted,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/catalog/catalog.service.ts,
catalog.service.updated,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/catalog/catalog.service.ts,
command.assigned,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/command/command.service.ts,
command.bulk_completed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/command/command.service.ts,
command.bulk_dismissed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/command/command.service.ts,
command.completed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/command/command.service.ts,
command.created,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/command/command.service.ts,
command.updated,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/command/command.service.ts,
connector.connected,1,1,OK,,apps/server/src/core/connectors/connector-registry.service.ts,apps/server/src/core/connectors/connector-activity.service.ts
connector.disconnected,1,1,OK,,apps/server/src/core/connectors/connector-registry.service.ts,apps/server/src/core/connectors/connector-activity.service.ts
connector.error,1,1,OK,,apps/server/src/core/connectors/connector-registry.service.ts,apps/server/src/core/connectors/connector-activity.service.ts
connector.smoke_tested,1,0,EMITTED_NO_LISTENER,,apps/server/src/core/connectors/connector-registry.service.ts,
connector.synced,1,2,OK,,apps/server/src/core/connectors/connector-registry.service.ts,apps/server/src/core/connectors/connector-activity.service.ts apps/server/src/modules/connect/google-forms-mapping.service.ts
connector.tested,1,0,EMITTED_NO_LISTENER,,apps/server/src/core/connectors/connector-registry.service.ts,
constitution.version_archived,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/business-genome/constitution-version.service.ts,
constitution.version_generated,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/business-genome/constitution-version.service.ts,
contact_task.completed,1,1,OK,,apps/server/src/modules/crm/crm-timeline.service.ts,apps/server/src/modules/calendar/listeners/crm.listener.ts
contact_task.created,1,1,OK,,apps/server/src/modules/crm/crm-timeline.service.ts,apps/server/src/modules/calendar/listeners/crm.listener.ts
contact_task.deleted,1,1,OK,,apps/server/src/modules/crm/crm-timeline.service.ts,apps/server/src/modules/calendar/listeners/crm.listener.ts
contact_task.reopened,1,1,OK,,apps/server/src/modules/crm/crm-timeline.service.ts,apps/server/src/modules/calendar/listeners/crm.listener.ts
contact_task.rescheduled,1,1,OK,,apps/server/src/modules/crm/crm-timeline.service.ts,apps/server/src/modules/calendar/listeners/crm.listener.ts
contact_task.updated,1,1,OK,,apps/server/src/modules/crm/crm-timeline.service.ts,apps/server/src/modules/calendar/listeners/crm.listener.ts
contact.created,3,6,OK,,apps/server/src/core/connectors/entity-resolution.service.ts apps/server/src/modules/business-events/business-event.service.spec.ts apps/server/src/modules/crm/crm.service.ts,apps/server/src/modules/ai/ai.listener.ts apps/server/src/modules/flow/activity-event.listener.ts apps/server/src/modules/flow/automation-executor.service.ts apps/server/src/modules/flow/flow.listener.ts apps/server/src/modules/growth-intelligence/journey-listener.service.ts apps/server/src/modules/webhooks/webhook-dispatcher.service.ts
contact.deleted,1,2,OK,,apps/server/src/modules/crm/crm.service.ts,apps/server/src/modules/ai/ai.listener.ts apps/server/src/modules/flow/flow.listener.ts
contact.imported,1,4,OK,,apps/server/src/modules/crm/crm-google.service.ts,apps/server/src/modules/ai/ai.listener.ts apps/server/src/modules/flow/activity-event.listener.ts apps/server/src/modules/flow/flow.listener.ts apps/server/src/modules/growth-intelligence/journey-listener.service.ts
contact.lifecycle_updated,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/autopilot/delegation-loop.service.ts,
contact.merge_reverted,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/crm/crm.service.ts,
contact.merged,1,4,OK,,apps/server/src/modules/crm/crm.service.ts,apps/server/src/modules/ai/ai.listener.ts apps/server/src/modules/flow/activity-event.listener.ts apps/server/src/modules/flow/flow.listener.ts apps/server/src/modules/webhooks/webhook-dispatcher.service.ts
contact.next_action_cleared,1,1,OK,,apps/server/src/modules/crm/crm.service.ts,apps/server/src/modules/calendar/listeners/crm.listener.ts
contact.next_action_set,1,1,OK,,apps/server/src/modules/crm/crm.service.ts,apps/server/src/modules/calendar/listeners/crm.listener.ts
contact.updated,1,6,OK,,apps/server/src/modules/crm/crm.service.ts,apps/server/src/modules/ai/ai.listener.ts apps/server/src/modules/connect/contact-sync.service.ts apps/server/src/modules/flow/activity-event.listener.ts apps/server/src/modules/flow/automation-executor.service.ts apps/server/src/modules/flow/flow.listener.ts apps/server/src/modules/webhooks/webhook-dispatcher.service.ts
content_calendar.gap_detected,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/social/social-gap-detector.service.ts,
content_request.*,1,0,OK,TRUE,apps/server/src/modules/content-ops/content-request.service.ts,
content_request.approved,0,1,OK,TRUE,,apps/server/src/modules/event-stream/event-stream.service.ts
content_request.assigned,0,1,OK,TRUE,,apps/server/src/modules/event-stream/event-stream.service.ts
content_request.cancelled,0,1,OK,TRUE,,apps/server/src/modules/event-stream/event-stream.service.ts
content_request.created,1,1,OK,,apps/server/src/modules/content-ops/content-request.service.ts,apps/server/src/modules/event-stream/event-stream.service.ts
content_request.delivered,1,1,OK,,apps/server/src/modules/content-ops/content-request.service.ts,apps/server/src/modules/event-stream/event-stream.service.ts
content_request.in_production,0,1,OK,TRUE,,apps/server/src/modules/event-stream/event-stream.service.ts
content_request.internal_review,0,1,OK,TRUE,,apps/server/src/modules/event-stream/event-stream.service.ts
content_request.submitted,0,1,OK,TRUE,,apps/server/src/modules/event-stream/event-stream.service.ts
content_request.updated,1,1,OK,,apps/server/src/modules/content-ops/content-request.service.ts,apps/server/src/modules/event-stream/event-stream.service.ts
content_request.uploaded_to_drive,1,1,OK,,apps/server/src/modules/content-ops/content-request.service.ts,apps/server/src/modules/event-stream/event-stream.service.ts
content_request.user_review,0,1,OK,TRUE,,apps/server/src/modules/event-stream/event-stream.service.ts
content.delivered,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/content-ops/content-request.service.ts,
content.delivered_invoiced,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/content-ops/content-invoice.service.ts,
content.failed,1,1,OK,,apps/server/src/modules/communications/delivery-queue.service.ts,apps/server/src/modules/ai/ai.listener.ts
content.published,1,1,OK,,apps/server/src/modules/communications/delivery-queue.service.ts,apps/server/src/modules/ai/ai.listener.ts
conversation.handled,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/ai/conversational-ai.service.ts,
conversation.message_received,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/ai/unified-inbox.service.ts,
conversation.thread_created,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/ai/unified-inbox.service.ts,
cortex.action_executed,2,0,EMITTED_NO_LISTENER,,apps/server/src/modules/key-cortex/key-cortex-lifecycle.service.ts apps/server/src/modules/key-cortex/key-cortex-safe-database.service.ts,
cortex.command_status_changed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/key-cortex/key-cortex-lifecycle.service.ts,
cortex.monitor.created,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/key-cortex/key-cortex-monitor-v2.service.ts,
cortex.monitor.manual_run,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/key-cortex/key-cortex-monitor-v2.service.ts,
cortex.monitor.toggled,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/key-cortex/key-cortex-monitor-v2.service.ts,
cortex.monitor.updated,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/key-cortex/key-cortex-monitor-v2.service.ts,
cortex.session_started,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/key-cortex/key-cortex-lifecycle.service.ts,
cortex.turn_completed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/key-cortex/key-cortex-lifecycle.service.ts,
cortex.turn_failed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/key-cortex/key-cortex-lifecycle.service.ts,
cortex.turn_started,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/key-cortex/key-cortex-lifecycle.service.ts,
