model,has_businessId,indexed_on_businessId,field_count,relation_count,reader_modules,writer_modules,accessed_by_module_count,unreferenced
ExpenseCategory,TRUE,TRUE,13,2,ai commerce expenses finance reports,expenses finance templates,6,FALSE
Expense,TRUE,TRUE,31,4,(root) ai blueprint command commerce expenses finance identity intelligence marketplace os projects reports subscriptions trash,expenses trash,15,FALSE
RecurringExpense,TRUE,TRUE,31,2,expenses,expenses,1,FALSE
DeliveryNote,TRUE,TRUE,16,2,continental-ops,continental-ops,1,FALSE
GoodsReceipt,TRUE,TRUE,14,2,continental-ops,continental-ops,1,FALSE
StockCount,TRUE,TRUE,11,1,continental-ops,continental-ops,1,FALSE
Receipt,TRUE,TRUE,15,2,continental-ops,continental-ops,1,FALSE
ExpenseBudget,TRUE,TRUE,12,2,ai expenses finance key-cortex,expenses,4,FALSE
RecurringInvoice,TRUE,TRUE,24,2,ai calendar commerce crm trash,calendar commerce crm trash,5,FALSE
EmailCampaign,TRUE,TRUE,20,1,ai blueprint calendar commerce diagnostics email-marketing flow subscriptions trash,calendar communications email-marketing flow trash,10,FALSE
CampaignBriefing,TRUE,TRUE,17,1,email-marketing identity,email-marketing,2,FALSE
EmailCampaignContact,TRUE,TRUE,12,2,email-marketing flow,communications email-marketing flow,3,FALSE
LeadForm,TRUE,TRUE,13,1,connect core/connectors email-marketing lead-forms site subscriptions trash,core/connectors lead-forms trash,7,FALSE
GoogleFormMapping,TRUE,TRUE,16,1,connect,connect,1,FALSE
LeadFormSubmission,TRUE,TRUE,10,2,ai connect core/connectors email-marketing growth-intelligence lead-forms site,connect core/connectors lead-forms,7,FALSE
BusinessTemplate,FALSE,,12,0,core/seed packages/db templates,core/seed packages/db templates,3,FALSE
BusinessTemplateUsage,TRUE,TRUE,6,2,,templates,1,FALSE
LandingPage,TRUE,TRUE,12,1,trash,trash,1,FALSE
Course,TRUE,FALSE,16,1,core/seed education packages/db,core/seed education packages/db,3,FALSE
CourseEnrollment,TRUE,TRUE,10,2,education,education,1,FALSE
Cohort,TRUE,FALSE,11,1,community core/seed packages/db,community core/seed packages/db,3,FALSE
CohortMember,TRUE,TRUE,7,2,community,community,1,FALSE
CommunityPost,TRUE,TRUE,14,1,ai community trash,community trash,3,FALSE
CommunityComment,TRUE,FALSE,9,2,trash,community trash,2,FALSE
NetworkConnection,FALSE,,7,2,ai community,community,2,FALSE
Endorsement,FALSE,,8,2,community,community,1,FALSE
Conversation,FALSE,,9,2,community key-cortex,community,2,FALSE
DirectMessage,FALSE,,8,2,community,community,1,FALSE
CollaborationRequest,FALSE,,12,2,community,community,1,FALSE
CommunityNotification,TRUE,TRUE,11,1,community,community,1,FALSE
MatchFeedback,TRUE,TRUE,10,2,ai,ai,1,FALSE
RelationshipInsightDismissal,TRUE,TRUE,9,2,ai,ai,1,FALSE
Webhook,TRUE,TRUE,10,1,subscriptions webhooks,webhooks,2,FALSE
MarketplaceListing,TRUE,TRUE,29,2,ai marketplace subscriptions,marketplace,3,FALSE
FulfillmentRoute,TRUE,TRUE,26,8,marketplace,marketplace,1,FALSE
ShippingZone,TRUE,TRUE,15,1,marketplace site,marketplace,2,FALSE
Warehouse,TRUE,TRUE,14,1,google-drive marketplace site subscriptions,marketplace,4,FALSE
InventoryStock,TRUE,TRUE,13,3,catalog finance google-drive marketplace site,continental-ops google-drive marketplace site,6,FALSE
StockMovement,TRUE,TRUE,12,1,marketplace,continental-ops google-drive marketplace site,4,FALSE
MarketplaceOrder,TRUE,TRUE,31,2,ai calendar commerce marketplace payments portal public-events shopify site,marketplace public-events shopify site,9,FALSE
MarketplaceOrderItem,FALSE,,11,2,marketplace site,,2,FALSE
Shipment,TRUE,TRUE,23,2,marketplace,marketplace,1,FALSE
CustomsDeclaration,TRUE,TRUE,22,1,marketplace,marketplace,1,FALSE
PreOrder,TRUE,TRUE,21,2,marketplace,marketplace,1,FALSE
PurchaseOrder,TRUE,TRUE,29,2,(root) continental-ops marketplace,marketplace procurement,4,FALSE
CrmSequence,TRUE,TRUE,11,1,crm intelligence,crm,2,FALSE
CrmSequenceEnrollment,FALSE,,13,2,crm,crm,1,FALSE
SequenceAttribution,TRUE,TRUE,13,1,crm,crm,1,FALSE
ContactMomentum,TRUE,TRUE,15,1,crm momentum,crm momentum,2,FALSE
ContactMomentumSnapshot,TRUE,TRUE,13,1,crm momentum,crm momentum,2,FALSE
MomentumRecommendation,TRUE,TRUE,21,1,crm momentum,crm momentum,2,FALSE
ApiKey,TRUE,TRUE,11,1,api-keys,api-keys,1,FALSE
BusinessPlan,TRUE,TRUE,10,1,ai,ai,1,FALSE
BusinessGuidanceProfile,TRUE,TRUE,29,1,(root) identity,identity,2,FALSE
BusinessIdentityProfile,FALSE,,12,1,,,0,TRUE
FounderProfile,FALSE,,14,1,,,0,TRUE
OfferProfile,FALSE,,16,1,,,0,TRUE
CustomerProfile,FALSE,,18,1,,,0,TRUE
RevenueProfile,FALSE,,16,1,,,0,TRUE
FinanceProfile,FALSE,,19,1,,,0,TRUE
OperationsProfile,FALSE,,17,1,,,0,TRUE
ComplianceGuidanceProfile,FALSE,,16,1,,,0,TRUE
GrowthProfile,FALSE,,17,1,,,0,TRUE
GoalsProfile,FALSE,,16,1,,,0,TRUE
SalesProfile,FALSE,,18,1,,,0,TRUE
MarketingStrategyProfile,FALSE,,18,1,,,0,TRUE
PeopleProfile,FALSE,,18,1,,,0,TRUE
TechnologyProfile,FALSE,,18,1,,,0,TRUE
PartnershipsProfile,FALSE,,16,1,,,0,TRUE
IntellectualPropertyProfile,FALSE,,17,1,,,0,TRUE
AssessmentResult,FALSE,,14,1,,,0,TRUE
GuidanceAssessment,TRUE,TRUE,13,3,,,0,TRUE
GuidanceRecommendation,FALSE,,25,2,,,0,TRUE
RoadmapItem,FALSE,,22,2,,,0,TRUE
ProgressSnapshot,FALSE,,11,1,,,0,TRUE
PromoCode,TRUE,TRUE,15,1,commerce site,site,2,FALSE
ProductReview,TRUE,TRUE,12,0,site,site,1,FALSE
BusinessProfileVersion,TRUE,TRUE,10,1,business-genesis documents,business-genesis documents,2,FALSE
DocumentCategory,FALSE,,11,0,core/seed documents,core/seed,2,FALSE
DocumentType,FALSE,,23,1,business-genesis core/seed documents,core/seed,3,FALSE
DocumentTemplate,FALSE,,14,1,,,0,TRUE
DocumentClause,FALSE,,15,1,,,0,TRUE
ClauseVariant,FALSE,,11,1,,,0,TRUE
DocumentInstance,TRUE,TRUE,29,4,ai business-genesis contracts documents identity intelligence,business-genesis documents identity,6,FALSE
DocumentVersion,FALSE,,17,1,documents,business-genesis documents,2,FALSE
DocumentSection,FALSE,,19,1,documents,business-genesis documents,2,FALSE
DocumentChangeLog,TRUE,TRUE,14,2,,documents,1,FALSE
ReviewTask,TRUE,TRUE,14,2,documents,documents,1,FALSE
ImpactRule,FALSE,,8,1,core/seed documents identity,core/seed,3,FALSE
OrgStandard,TRUE,TRUE,8,1,documents,documents,1,FALSE
OutputTemplate,TRUE,TRUE,14,1,ai,ai,1,FALSE
IntakeSubmission,TRUE,TRUE,15,1,site,site,1,FALSE
QualificationJourney,TRUE,TRUE,23,1,site,site,1,FALSE
FlowSession,TRUE,TRUE,7,1,ai key-cortex,ai,2,FALSE
SupplierConnection,TRUE,TRUE,15,1,packages/api procurement supplier,packages/api supplier,3,FALSE
SupplierProduct,FALSE,,16,1,packages/api supplier,packages/api supplier,2,FALSE
SupplierVariant,FALSE,,11,1,supplier,supplier,1,FALSE
ProductVariant,FALSE,,13,1,packages/api supplier,packages/api supplier,2,FALSE
ProductSourceLink,FALSE,,15,2,commerce marketplace packages/api supplier,packages/api supplier,4,FALSE
ProductCostProfile,FALSE,,14,1,finance packages/api supplier,commerce packages/api supplier,4,FALSE
MarginSnapshot,FALSE,,15,1,commerce packages/api supplier,commerce supplier,3,FALSE
AiExecutionLog,TRUE,TRUE,28,2,ai key-cortex,ai identity,3,FALSE
AiApprovalItem,TRUE,TRUE,30,3,(root) ai command commerce communications os staff-performance structure,(root) ai commerce identity,9,FALSE
AutopilotSettings,TRUE,TRUE,17,1,(root) ai key-autonomy,(root) ai,3,FALSE
BusinessAutonomyProfile,TRUE,TRUE,10,1,key-autonomy,key-autonomy,1,FALSE
AutonomyDailySpend,TRUE,TRUE,8,1,key-autonomy,key-autonomy,1,FALSE
AutonomyDailyActionCount,TRUE,TRUE,8,1,key-autonomy,key-autonomy,1,FALSE
IdempotencyKey,TRUE,TRUE,10,1,key-cortex,key-cortex,1,FALSE
SagaExecution,TRUE,TRUE,11,1,,key-cortex,1,FALSE
SagaStep,FALSE,,13,1,key-cortex,key-cortex,1,FALSE
AiGoal,TRUE,TRUE,12,1,key-cortex,key-cortex,1,FALSE
AiPlanResult,TRUE,FALSE,9,2,,key-cortex,1,FALSE
KeyCortexTriggerRule,TRUE,TRUE,11,1,key-cortex,key-cortex,1,FALSE
ToolOutcomeScore,TRUE,TRUE,10,1,key-autonomy key-cortex,key-cortex,2,FALSE
PromptVariant,TRUE,TRUE,11,1,,,0,TRUE
AuthorityGrant,TRUE,TRUE,12,1,ai key-autonomy,ai,2,FALSE
AutonomyRule,TRUE,TRUE,12,1,key-autonomy,,1,FALSE
AutonomyVerdict,TRUE,TRUE,14,1,key-cortex,key-autonomy,2,FALSE
KeyCortexMemory,TRUE,TRUE,13,1,finance key-cortex,finance key-cortex,2,FALSE
CognitiveEvent,TRUE,TRUE,9,1,key-cortex,key-cortex,1,FALSE
ValueConstraint,TRUE,TRUE,10,1,key-cortex,key-cortex,1,FALSE
KnowledgeSource,TRUE,TRUE,10,1,key-cortex,key-cortex,1,FALSE
AgentTrigger,TRUE,TRUE,13,1,(root) ai,(root) ai,2,FALSE
AgentMessage,TRUE,TRUE,9,0,ai,ai,1,FALSE
RevenueAction,TRUE,TRUE,20,1,commerce finance site,commerce finance site,3,FALSE
CommandItem,TRUE,TRUE,40,1,admin-analytics apps/server command finance intelligence key-cortex site,apps/server command finance intelligence site,7,FALSE
FinanceActionItem,TRUE,TRUE,20,1,ai commerce finance,finance,3,FALSE
KeyflowNote,TRUE,TRUE,12,1,keyflow-command,keyflow-command,1,FALSE
AiMemory,TRUE,TRUE,11,1,(root) ai key-cortex,ai key-cortex,3,FALSE
AiMemoryEmbedding,TRUE,TRUE,9,1,,,0,TRUE
AiPlan,TRUE,TRUE,24,3,ai key-cortex,ai identity key-cortex,3,FALSE
BusinessMatch,TRUE,TRUE,12,2,ai,ai,1,FALSE
AiPlanStep,FALSE,,23,1,ai,ai key-cortex,2,FALSE
JourneyInstance,TRUE,TRUE,12,2,ai,ai,1,FALSE
BusinessGoal,TRUE,TRUE,19,1,ai projects,ai,2,FALSE
CommunityQuoteRequest,FALSE,,17,2,community,community,1,FALSE
CommunityReferral,FALSE,,14,2,community,community,1,FALSE
CommunityCollaboration,FALSE,,16,2,community,community,1,FALSE
BusinessMessage,FALSE,,10,2,ai community,community,2,FALSE
SavedBusiness,TRUE,TRUE,7,2,community,community,1,FALSE
