model,has_businessId,indexed_on_businessId,field_count,relation_count,reader_modules,writer_modules,accessed_by_module_count,unreferenced
IntegrationSyncRun,TRUE,TRUE,12,0,admin-analytics integration-hub,integration-hub,2,FALSE
ExternalObjectMap,TRUE,TRUE,9,0,,,0,TRUE
ProductEvent,TRUE,TRUE,10,0,admin-analytics product-analytics,product-analytics,2,FALSE
UserFeedback,TRUE,TRUE,12,0,admin-analytics product-analytics,product-analytics,2,FALSE
FeatureUsageDaily,FALSE,,9,0,admin-analytics,product-analytics,2,FALSE
AiQualitySignal,TRUE,TRUE,10,0,admin-analytics product-analytics,product-analytics,2,FALSE
ProductExperiment,FALSE,,11,0,,,0,TRUE
ProductRoadmapInsight,FALSE,,10,0,admin-analytics,,1,FALSE
NetworkNode,TRUE,TRUE,10,0,,,0,TRUE
NetworkEdge,TRUE,TRUE,11,0,,,0,TRUE
ChannelAccount,TRUE,TRUE,12,0,communications,,1,FALSE
InteractionIntent,TRUE,TRUE,13,0,communications,communications,1,FALSE
ResponseDraft,TRUE,TRUE,19,0,communications,apps/server communications flow,3,FALSE
ConsentRecord,TRUE,TRUE,11,0,communications key-cortex security-audit,communications,3,FALSE
TriggerDefinition,TRUE,TRUE,11,0,communications,communications,1,FALSE
MediaAsset,TRUE,TRUE,18,0,device key-cortex,apps/server device,3,FALSE
VisualIntake,TRUE,TRUE,15,0,device key-cortex,device,2,FALSE
ExtractedEntity,TRUE,TRUE,12,0,device key-cortex,device,2,FALSE
VoiceSession,TRUE,TRUE,13,0,device livekit,device livekit,2,FALSE
KeyVoicePreference,TRUE,TRUE,15,0,device,device,1,FALSE
AutomationFlow,TRUE,TRUE,17,0,analytics flow trash,apps/server flow trash,4,FALSE
FlowVersion,FALSE,,11,1,flow,flow,1,FALSE
FlowRun,TRUE,TRUE,18,2,analytics flow,flow,2,FALSE
FlowRunStep,FALSE,,12,1,flow,flow,1,FALSE
FlowTemplate,FALSE,,14,0,flow,flow,1,FALSE
AutomationOutcome,TRUE,TRUE,13,0,,,0,TRUE
BotAgent,TRUE,TRUE,15,0,,,0,TRUE
BotConversationState,TRUE,TRUE,13,0,,,0,TRUE
KeyAgentConfig,TRUE,TRUE,15,0,ai,ai,1,FALSE
BusinessSnapshot,TRUE,TRUE,41,1,analytics,analytics,1,FALSE
MaturityScore,TRUE,TRUE,19,1,analytics,analytics,1,FALSE
Projection,TRUE,TRUE,16,1,analytics,analytics,1,FALSE
ConnectorAccount,TRUE,TRUE,18,0,,,0,TRUE
KeyInboxThread,TRUE,TRUE,25,1,(root) ai communications key-cortex key-inbox social temporal-flow,ai apps/server communications key-inbox,8,FALSE
KeyInboxMessage,TRUE,TRUE,32,1,ai analytics core/connectors ingestion key-cortex key-inbox social whatsapp,ai apps/server communications key-cortex key-inbox,10,FALSE
